投稿タイプ,投稿日時,投稿日,投稿時間帯,曜日,いいね数,コメント数,保存数,リーチ数,インプレッション数,キャプション,ハッシュタグ,メディアタイプ,投稿URL,メディアID,再生数,キャプション文字数,ハッシュタグ数
競合_lovehealermagic,2026-01-22 19:33,2026-01-22,19:33,木曜日,10,32,,,,"優しさを続けるほど、ないがしろにされる側に回りやすくなります。

尽くせば尽くすほど愛されると思っているなら、その思い込みがあなた自身を安売りさせてしまうんですね。

既読無視や音信不通に耐えながら、家事も仕事も育児も回して、心だけが置き去りになっていませんか。

それでも復縁を願うほど、男性心理は「この人は待ってくれる」と学習しやすくなります。

複雑愛や年下彼氏や婚外恋愛でも、ここは同じです。

境界線を引けないままだと、少しずつ都合のいい存在へと変わっていきやすいんです。

今日の鍵は、優しさを減らすことではありません😌

優しさの向け先を、まず自分に戻してあげることです🍀

この動画を、お守りとして保存しておいてくださいね🕊️

不安な夜に見返すだけで行動がぶれにくくなり、関係の主導権も少しずつ戻っていきます✨

#タロット #占い #恋愛",#タロット #占い #恋愛,動画,https://www.instagram.com/p/DTz0tybiVjM/,DTz0tybiVjM,,379,3
競合_lovehealermagic,2026-01-21 19:53,2026-01-21,19:53,水曜日,15,110,,,,"自分は「ツイてる人」なのか、「なんだか間が悪い人」なのか。

それを分けるのは、実はちょっとした心のクセかもしれません😌

今回の心理テストでは、あなたの強運度をズバリ診断していきますね🔮

日常の中でふと感じる「運がいい」「なんかツイてない」――その感覚の正体は、無意識の視点の向け方にあらわれています🍀

運のいい人が、いつもラッキーな出来事ばかりに恵まれているわけではありません。

どんな出来事の中にも、自分なりの意味や価値を見いだせるかどうか。

そこに、人生の流れを変えるヒントがそっと隠れているんです✨

このテストを通して、自分がどんな視点で世界を見ているのかに気づけると、運を味方につけることも不可能ではありません🌙

診断結果は、当たり感と意外性の両方を大切にしながら設計しています😊

「本当の気持ち」にふと気づけたり、

「そういえば私、こういうとこあるな」と思えたりしたら、

ぜひ保存して、あとで見返してみてくださいね🕊️

そのたびに、あなたの中の整う感覚が静かに戻ってくると思います🌸

#心理テスト #強運診断 #性格診断 #深層心理 #自己理解 #直感力 #無意識の選択 #心の癖 #2026年運勢 #今の自分 #心の状態 #メンタルケア #人間関係の悩み #自分を知る #本当の気持ち #保存推奨 #開運習慣 #運を引き寄せる #マインドフルネス #感情コントロール #2026冬",#心理テスト #強運診断 #性格診断 #深層心理 #自己理解 #直感力 #無意識の選択 #心の癖 #2026年運勢 #今の自分 #心の状態 #メンタルケア #人間関係の悩み #自分を知る #本当の気持ち #保存推奨 #開運習慣 #運を引き寄せる #マインドフルネス #感情コントロール #2026冬,動画,https://www.instagram.com/p/DTxSNYtju8g/,DTxSNYtju8g,,609,21
競合_lovehealermagic,2026-01-20 19:45,2026-01-20,19:45,火曜日,15,62,,,,"返事が遅いだけで、あなたの心が少しずつ削れていくように感じる夜もありますよね😌

そんなふうに揺れてしまうのは、あなたがそれだけ大切にしてきた証でもあります🍀

仕事や家事や育児の顔を保ったまま、恋愛の不安だけがこぼれてしまうこともあると思います

誰にも見せずに抱えてきた分、ふっと夜に出てきてしまうんですよね😌

片思いみたいに待つ時間が増えるほど、自己肯定感が小さくなってしまう感覚も、よく分かります

でもその気持ちは、あなたの価値が下がったサインではありません🕊️

音信不通に近い沈黙が続いても、それをあなたのせいだと結論づけなくて大丈夫です

あなたが悪いから起きている、と決めなくていいんですよ😌

今夜は相手を動かすことより、あなたの呼吸と睡眠を守る選び方をしてみてください🌙

心が落ち着いたときの短い一言が、関係の温度をそっと変えることもあります✨

焦りが強いほど言葉は重くなりやすいので、やさしい温度のままで十分です🍀

今つらくなくても、ふとした夜にまた読み返せるように、そっと残しておいてくださいね📌

心が限界に近づいたときに、自分を責め過ぎないためのお守りとして取っておくのもいいと思います🕊️

当てはまった部分だけでも、心の中でそっと認めてみてください😌

もし言葉にできそうなら、忘れたくない一文だけを、静かに残しておくのも良さそうです🌸

#恋愛占い #占い #オラクルカード #恋愛 #片思い #インスタ動画 #30代恋愛 #40代恋愛 #恋愛不安 #自己肯定感 #共依存 #恋愛心理 #返信遅い #連絡こない #既読無視 #音信不通 #追いライン #不安な夜 #冬の恋 #新年の恋 #寒い夜",#恋愛占い #占い #オラクルカード #恋愛 #片思い #インスタ動画 #30代恋愛 #40代恋愛 #恋愛不安 #自己肯定感 #共依存 #恋愛心理 #返信遅い #連絡こない #既読無視 #音信不通 #追いライン #不安な夜 #冬の恋 #新年の恋 #寒い夜,動画,https://www.instagram.com/p/DTusgFbjMOl/,DTusgFbjMOl,,718,21
競合_lovehealermagic,2026-01-19 19:38,2026-01-19,19:38,月曜日,13,62,,,,"彼の本心が分からなくて、もう一度だけ信じたい夜に🌙

連絡の間が空くほど、不安がふくらんでしまうことってありますよね😌

そう感じてしまうのも、決して不自然なことではありません

それでもあなたは、仕事や家のことを回しながら、彼のことも大事にしてきた人です🍀

片思いみたいに感じる日も、音信不通みたいに沈んでしまう日も、あなたの価値が下がったわけではありません

ここまで本当によく頑張ってこられましたね😌

大切なのは、追いかけるか切るかの二択にしないことです

自分の呼吸を整えて、今の生活を守りながら、彼との距離を少しずつ育て直していきましょうね🕊️

その小さな選び直しが、溺愛される流れの入口になります✨

あなたがあなた自身を大切にするほど、恋の形も整いやすくなっていきます🌸

当てはまった部分だけ、心の中でそっと認めてみてください😊

いきなり完璧を目指さなくて大丈夫ですよ🍀

未来の自分を守るお守りとして、保存して残しておいてくださいね🌙

必要なときに読み返すたび、あなたの軸がふっと戻ってくるはずです💫

#恋愛 #恋愛運 #タロット #占い #恋愛占い #片思い #彼の本心 #溺愛 #音信不通 #不安 #自己肯定感 #復縁 #既読無視 #連絡減った #曖昧な関係 #大人の恋 #追いかけない #自分軸 #2026恋愛 #女磨き #恋のヒント",#恋愛 #恋愛運 #タロット #占い #恋愛占い #片思い #彼の本心 #溺愛 #音信不通 #不安 #自己肯定感 #復縁 #既読無視 #連絡減った #曖昧な関係 #大人の恋 #追いかけない #自分軸 #2026恋愛 #女磨き #恋のヒント,動画,https://www.instagram.com/p/DTsG6sHklJL/,DTsG6sHklJL,,585,21
競合_lovehealermagic,2026-01-18 19:51,2026-01-18,19:51,日曜日,16,84,,,,"深層心理の性格診断は、恋愛の答え合わせというより、今の自分をいたわる地図みたいなものです😌

直感で選んだ場所には、無意識の安心ポイントがそのまま出やすいんですね🕊️

最近なぜか疲れやすい、距離感が難しい、人間関係で気を使いすぎる。

そんな心の癖は、頑張り屋のあなたほど見えにくいことがあります🍀

この心理テストで、本当の気持ちを少しだけ言葉にして、自己理解を進めてみてくださいね🌙

うまく甘えられない日があっても、それは愛が足りないのではなく、回復が必要なサインなのかもしれません😌

今の自分に合う関わり方が分かると、相手に求める前に自分を満たす選択も増えていきます✨

あとで見返せるように、保存しておくのもおすすめです📌

気持ちが揺れた日に読み直すと、心がすっと戻りやすくなりますよ🕊️

#深層心理 #性格診断 #心理テスト #直感 #無意識 #自己理解 #人間関係 #心の癖 #今の自分 #本当の気持ち #大人恋愛 #自己肯定感 #心の疲れ #仕事と家庭 #距離感 #甘え方 #恋愛心理 #30代女性 #40代女性 #2026冬 #冬のセルフケア",#深層心理 #性格診断 #心理テスト #直感 #無意識 #自己理解 #人間関係 #心の癖 #今の自分 #本当の気持ち #大人恋愛 #自己肯定感 #心の疲れ #仕事と家庭 #距離感 #甘え方 #恋愛心理 #30代女性 #40代女性 #2026冬 #冬のセルフケア,動画,https://www.instagram.com/p/DTpjnAXCoa6/,DTpjnAXCoa6,,484,21
競合_lovehealermagic,2026-01-17 19:41,2026-01-17,19:41,土曜日,16,80,,,,"頑張っているのに報われない恋で、自分の心だけ置き去りにしていないか、ふと立ち止まってみてくださいね😌

仕事と家事と育児を回してから、恋の不安まで抱える夜は、息が浅くなりやすいものです。

返信や態度を追いかけるほど、自己肯定感が静かに削れていくこともあります。

今日ここまでやった自分を、ひとつだけでいいので認めてあげてください🍀

片思いでも、曖昧な関係でも、あなたの疲れは消えないまま積もっていきます。

安心は相手の反応だけで作るものではなく、あなたの回復から育っていくんです🕊️

無理をしない距離感を選べた日は、恋の形も少しずつ変わっていきます🌙

今つらくなくても、ふとした夜にまた読み返せるように、そっと残しておくのもいいですね✨

もし言葉にできそうなら、忘れたくない一文だけを、心の中にそっと置いてあげても大丈夫です😊

#恋愛占い #占い #オラクルカード #インスタリール #恋愛相談 #スピリチュアル #30代恋愛 #40代恋愛 #自己肯定感 #恋愛不安 #共依存 #ワンオペ育児 #返信こない #会えない恋 #疲れた心 #尽くしすぎ #恋愛でしんどい #家事育児しんどい #冬の夜 #新年リセット #寒い夜",#恋愛占い #占い #オラクルカード #インスタリール #恋愛相談 #スピリチュアル #30代恋愛 #40代恋愛 #自己肯定感 #恋愛不安 #共依存 #ワンオペ育児 #返信こない #会えない恋 #疲れた心 #尽くしすぎ #恋愛でしんどい #家事育児しんどい #冬の夜 #新年リセット #寒い夜,動画,https://www.instagram.com/p/DTm9qLKjffE/,DTm9qLKjffE,,518,21
競合_lovehealermagic,2026-01-16 19:34,2026-01-16,19:34,金曜日,13,50,,,,"彼の本心が分からなくて、追いかけてしまう夜こそ、溺愛に変わっていくきっかけになることがあります😌

返信の間に不安がふくらんで、通知音だけで心が揺れてしまうこともありますよね。

それでも仕事や家のことを回して、笑って過ごしているあなたは、十分に頑張っています🍀

この恋が動き出す合図は、彼を追う努力を増やすことよりも、あなたの軸を少し取り戻していくことです🌙

「寂しい」という気持ちは、素直に認めていいんですよ😌

そして同時に、あなたの予定と気持ちも、大事にしていいんです🕊️

溺愛は、我慢でつなぐ関係より、安心して受け取れる関係の中で育っていきます✨

片思いみたいに感じる日があっても、音信不通が怖い日があっても、自分を責めすぎなくて大丈夫です。

自己肯定感をひとつ守れた分だけ、彼の態度も静かに変わっていきますよ🍀

未来の自分を守るお守りとして、そっと保存しておくのもおすすめです📌

当てはまったところだけでいいので、心の中でそっと認めてあげてくださいね🌸

#恋愛 #恋愛占い #タロット占い #片思い #復縁 #恋愛心理 #彼の本心 #溺愛 #連絡不安 #音信不通 #自己肯定感 #曖昧な関係 #既読スルー #返信遅い #追いかける恋 #追わない女 #安心感 #恋の駆け引き #自己愛 #メンタルケア #大人の恋",#恋愛 #恋愛占い #タロット占い #片思い #復縁 #恋愛心理 #彼の本心 #溺愛 #連絡不安 #音信不通 #自己肯定感 #曖昧な関係 #既読スルー #返信遅い #追いかける恋 #追わない女 #安心感 #恋の駆け引き #自己愛 #メンタルケア #大人の恋,動画,https://www.instagram.com/p/DTkX_cWCLC0/,DTkX_cWCLC0,,569,21
競合_lovehealermagic,2026-01-15 19:52,2026-01-15,19:52,木曜日,16,131,,,,"あなたの「優しさ」は、どんなかたちをしていますか？✨

今回は心理テストとして、図形の見え方から、あなたがどんな優しさを持っているのかを深層心理レベルでやさしく読み解いていきますね🔮

ふだん当たり前にしていることの中にこそ、本当の性格や心の癖がそっと表れやすいものです😌

感情に寄り添える繊細な優しさがあります🌸

相手の疲れを癒やす、空気のような優しさもあります🕊️

ときに厳しさを伴う、本気の優しさもあります✨

そして、場を明るくするエネルギッシュな優しさもあります🌈

人それぞれ、優しさのかたちは違います😊

直感で選んだ答えには、今の自分を知るヒントがたくさん隠れているかもしれません🌙

この診断では、自分の中の優しさに気づくだけでなく、どんなときにそれが疲れやすくなるのか、どんなふうに整えていけばいいのかも含めて、やさしくアドバイスしています🍀

「なんだか最近、気を使いすぎてるかも」と感じるときがありますよね😌

「人間関係でちょっと疲れやすい…」と感じる日もあると思います🫧

そんなふうに感じている方にこそ、ぜひ試してほしい深層心理テストです✨

本当の気持ちに気づきたいあなたに、そっと寄り添うきっかけになりますように🌸

今の自分を見つめる小さなきっかけとして、ぜひ保存して、あとでゆっくりやってみてくださいね🌙

自己理解が深まれば、優しさの使い方も少しずつ変わっていきます😊

#深層心理 #性格診断 #直感 #無意識 #自己理解 #人間関係 #心の癖 #今の自分 #本当の気持ち #保存推奨 #心理テスト #優しさ診断 #気遣い疲れ #癒し力 #人に寄り添う #共感力 #繊細さん #大人の心理テスト #自分らしさ #2026年 #冬の心理テスト #心のメンテナンス",#深層心理 #性格診断 #直感 #無意識 #自己理解 #人間関係 #心の癖 #今の自分 #本当の気持ち #保存推奨 #心理テスト #優しさ診断 #気遣い疲れ #癒し力 #人に寄り添う #共感力 #繊細さん #大人の心理テスト #自分らしさ #2026年 #冬の心理テスト #心のメンテナンス,動画,https://www.instagram.com/p/DTh1Up_k6no/,DTh1Up_k6no,,754,22
競合_lovehealermagic,2026-01-14 19:55,2026-01-14,19:55,水曜日,14,54,,,,"返事が来ない夜ほど、ふと自分の価値まで薄くなった気がしてしまうことってありますよね。

呼吸が浅いまま、スマホをぎゅっと握りしめていないでしょうか。

追うほど遠く感じるのは、あなたの愛が弱いからではありません。

心と体が、そろそろ限界だよとサインを出しているだけかもしれません。

まずは、追いかける手をいったん止めてみましょう。

4つ吸って、6つ吐く呼吸に戻ってくださいね🕊️

その静けさが、自己肯定感を少しずつ立て直していきます。

恋愛の流れも、ほどよい距離へと静かに戻っていきます🍀

今つらくなくても、ふとした夜に読み返せるように残しておいてくださいね🌙

もし言葉にできそうなら、忘れたくない一文だけを、そっとコメントに残しても大丈夫です✨

#恋愛占い #占い #オラクルカード #インスタリール #恋愛 #片思い #30代恋愛 #40代恋愛 #恋愛不安 #自己肯定感 #共依存 #心を整える #連絡こない #返信待ち #追いLINE #音信不通つらい #不安で眠れない #追うのをやめたい #冬の夜 #新年の自分磨き #2026の恋",#恋愛占い #占い #オラクルカード #インスタリール #恋愛 #片思い #30代恋愛 #40代恋愛 #恋愛不安 #自己肯定感 #共依存 #心を整える #連絡こない #返信待ち #追いLINE #音信不通つらい #不安で眠れない #追うのをやめたい #冬の夜 #新年の自分磨き #2026の恋,動画,https://www.instagram.com/p/DTfQzXjkyfl/,DTfQzXjkyfl,,478,21
競合_lovehealermagic,2026-01-13 19:45,2026-01-13,19:45,火曜日,20,91,,,,"彼の本心が分からなくて、つい追いかけてしまうのに、本当は溺愛されたい夜ってありますよね。

そう感じてしまうのも、無理はないと思います😌

返信の間が少し空くだけで胸がざわついて、仕事も家のことも手につかなくなることがあります。

そんな自分を「重いのかな」と責めてしまって、優しくしようとするほど不安が増えていくんですよね。

ここまで一生懸命向き合ってきたからこそ、心が敏感になっているのだと思います🕊️

でもね。

愛される流れって、頑張りを足した瞬間というより、あなたが自分の軸を少し取り戻した瞬間に切り替わっていきます✨

彼の気分に合わせる癖をそっとゆるめて、こちらの都合を1つだけ大事にしてみてください🍀

それだけで彼の中の本能が動いて、追われる側だった関係が静かに逆転していきます🌙

この動画は、恋愛の答え合わせではなくて、あなたの心を守るためのヒントです😌

当てはまったところだけでいいので、心の中でそっと認めてあげてくださいね🌼

未来のあなたを守るお守りとして、保存しておくのも良さそうです✨

あなたのペースを大事にしながら、少しずつ整えていきましょうね😊

#恋愛 #恋愛占い #タロット #タロット占い #復縁 #片思い #彼の本心 #溺愛 #連絡こない #音信不通 #不安 #自己肯定感 #既読スルー #既読遅い #曖昧な関係 #追いかける恋 #大人の恋 #アラフォー恋愛 #リール占い #恋愛心理 #引き寄せ",#恋愛 #恋愛占い #タロット #タロット占い #復縁 #片思い #彼の本心 #溺愛 #連絡こない #音信不通 #不安 #自己肯定感 #既読スルー #既読遅い #曖昧な関係 #追いかける恋 #大人の恋 #アラフォー恋愛 #リール占い #恋愛心理 #引き寄せ,動画,https://www.instagram.com/p/DTcq5G2kWCV/,DTcq5G2kWCV,,624,21
